Action_Type,Location_or_Segment,Metric_1_Name,Metric_1_Value,Metric_2_Name,Metric_2_Value,Source_File,Is_NCR
Locality demand-supply gap,Alaknanda,AvgVotesPerRestaurant,452.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Ashok Vihar Phase 1,AvgVotesPerRestaurant,135.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Chandni Chowk,AvgVotesPerRestaurant,521.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Greater Noida,AvgVotesPerRestaurant,56.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Defence Colony,AvgVotesPerRestaurant,782.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Daryaganj,AvgVotesPerRestaurant,85.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"DLF Mall of India, Sector 18,  Noida",AvgVotesPerRestaurant,567.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"Cyber Hub, DLF Cyber City",AvgVotesPerRestaurant,1518.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Connaught Place,AvgVotesPerRestaurant,2620.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 41,AvgVotesPerRestaurant,117.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 50,AvgVotesPerRestaurant,267.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 56,AvgVotesPerRestaurant,46.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 62,AvgVotesPerRestaurant,147.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 18,AvgVotesPerRestaurant,574.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 29,AvgVotesPerRestaurant,966.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Geeta Colony,AvgVotesPerRestaurant,31.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,East Patel Nagar,AvgVotesPerRestaurant,359.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Greater Kailash (GK) 1,AvgVotesPerRestaurant,697.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Kalkaji,AvgVotesPerRestaurant,492.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Kirti Nagar,AvgVotesPerRestaurant,68.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Laxmi Nagar,AvgVotesPerRestaurant,270.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Janpath,AvgVotesPerRestaurant,1869.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Jail Road,AvgVotesPerRestaurant,60.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,IP Extension,AvgVotesPerRestaurant,113.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Hauz Khas,AvgVotesPerRestaurant,1823.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Netaji Subhash Place,AvgVotesPerRestaurant,459.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Mukherjee Nagar,AvgVotesPerRestaurant,14.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Naraina,AvgVotesPerRestaurant,23.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,New Friends Colony,AvgVotesPerRestaurant,189.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Palam Vihar,AvgVotesPerRestaurant,19.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Paschim Vihar,AvgVotesPerRestaurant,92.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Old Railway Road,AvgVotesPerRestaurant,33.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Palam,AvgVotesPerRestaurant,3.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Mayur Vihar Phase 3,AvgVotesPerRestaurant,51.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Malviya Nagar,AvgVotesPerRestaurant,221.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,MG Road,AvgVotesPerRestaurant,656.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Najafgarh,AvgVotesPerRestaurant,2.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"Logix City Centre, Sector 32, Noida",AvgVotesPerRestaurant,26.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Rohini,AvgVotesPerRestaurant,135.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Punjabi Bagh,AvgVotesPerRestaurant,111.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Preet Vihar,AvgVotesPerRestaurant,121.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Satyaniketan,AvgVotesPerRestaurant,715.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 110,AvgVotesPerRestaurant,84.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 132,AvgVotesPerRestaurant,55.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sainik Farms,AvgVotesPerRestaurant,17.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,R K Puram,AvgVotesPerRestaurant,629.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 12,AvgVotesPerRestaurant,1182.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sohna Road,AvgVotesPerRestaurant,121.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sushant Lok,AvgVotesPerRestaurant,125.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Udyog Vihar,AvgVotesPerRestaurant,12.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vasundhara Enclave,AvgVotesPerRestaurant,16.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vivek Vihar,AvgVotesPerRestaurant,88.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vikaspuri,AvgVotesPerRestaurant,36.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vasant Vihar,AvgVotesPerRestaurant,299.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Uttam Nagar,AvgVotesPerRestaurant,8.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 72,AvgVotesPerRestaurant,27.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"The Great India Place, Sector 38",AvgVotesPerRestaurant,679.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 15,AvgVotesPerRestaurant,799.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Naraina,AvgVotesPerRestaurant,15.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,New Friends Colony,AvgVotesPerRestaurant,391.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Old Railway Road,AvgVotesPerRestaurant,25.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Rajinder Nagar,AvgVotesPerRestaurant,102.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Safdarjung,AvgVotesPerRestaurant,359.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Tilak Nagar,AvgVotesPerRestaurant,160.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Udyog Vihar,AvgVotesPerRestaurant,27.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 72,AvgVotesPerRestaurant,22.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"The Great India Place, Sector 38",AvgVotesPerRestaurant,688.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vasant Vihar,AvgVotesPerRestaurant,114.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vikaspuri,AvgVotesPerRestaurant,35.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Kamla Nagar,AvgVotesPerRestaurant,175.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Kalkaji,AvgVotesPerRestaurant,194.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sainik Farms,AvgVotesPerRestaurant,13.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 132,AvgVotesPerRestaurant,57.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Ashok Vihar Phase 1,AvgVotesPerRestaurant,35.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Anand Vihar,AvgVotesPerRestaurant,106.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,DLF Phase 3,AvgVotesPerRestaurant,75.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Daryaganj,AvgVotesPerRestaurant,711.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Chandni Chowk,AvgVotesPerRestaurant,305.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Chanakyapuri,AvgVotesPerRestaurant,87.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Gujranwala Town,AvgVotesPerRestaurant,155.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,IP Extension,AvgVotesPerRestaurant,96.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,East of Kailash,AvgVotesPerRestaurant,686.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Green Park,AvgVotesPerRestaurant,303.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Jail Road,AvgVotesPerRestaurant,621.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Jangpura,AvgVotesPerRestaurant,744.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Dilshad Garden,AvgVotesPerRestaurant,56.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Defence Colony,AvgVotesPerRestaurant,354.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Mayur Vihar Phase 1,AvgVotesPerRestaurant,80.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Rajouri Garden,AvgVotesPerRestaurant,413.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,MG Road,AvgVotesPerRestaurant,236.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Pitampura,AvgVotesPerRestaurant,70.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vikaspuri,AvgVotesPerRestaurant,34.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 50,AvgVotesPerRestaurant,161.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Preet Vihar,AvgVotesPerRestaurant,102.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,East Patel Nagar,AvgVotesPerRestaurant,119.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 14,AvgVotesPerRestaurant,34.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Naraina,AvgVotesPerRestaurant,15.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Uttam Nagar,AvgVotesPerRestaurant,6.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 15,AvgVotesPerRestaurant,155.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Lodhi Colony,AvgVotesPerRestaurant,330.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Connaught Place,AvgVotesPerRestaurant,2524.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Anand Vihar,AvgVotesPerRestaurant,58.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sushant Lok,AvgVotesPerRestaurant,80.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Palam Vihar,AvgVotesPerRestaurant,17.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Mukherjee Nagar,AvgVotesPerRestaurant,9.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Saket,AvgVotesPerRestaurant,237.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 37,AvgVotesPerRestaurant,74.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Green Park,AvgVotesPerRestaurant,271.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 110,AvgVotesPerRestaurant,47.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Civil Lines,AvgVotesPerRestaurant,126.0,Supply,2,locality_opportunity_flags.csv,0.0
Locality demand-supply gap,Chittaranjan Park,AvgVotesPerRestaurant,112.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,"Logix City Centre, Sector 32, Noida",AvgVotesPerRestaurant,18.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,East of Kailash,AvgVotesPerRestaurant,24.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 132,AvgVotesPerRestaurant,15.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Paschim Vihar,AvgVotesPerRestaurant,62.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Greater Noida,AvgVotesPerRestaurant,36.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Nehru Place,AvgVotesPerRestaurant,177.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Udyog Vihar,AvgVotesPerRestaurant,11.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Janpath,AvgVotesPerRestaurant,731.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Tagore Garden,AvgVotesPerRestaurant,54.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Rajinder Nagar,AvgVotesPerRestaurant,119.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Pitampura,AvgVotesPerRestaurant,68.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Old Railway Road,AvgVotesPerRestaurant,18.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vikaspuri,AvgVotesPerRestaurant,33.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 50,AvgVotesPerRestaurant,160.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Preet Vihar,AvgVotesPerRestaurant,100.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 17,AvgVotesPerRestaurant,21.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Kirti Nagar,AvgVotesPerRestaurant,57.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Naraina,AvgVotesPerRestaurant,13.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Greater Kailash (GK) 2,AvgVotesPerRestaurant,267.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Jail Road,AvgVotesPerRestaurant,41.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 72,AvgVotesPerRestaurant,5.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Vasundhara Enclave,AvgVotesPerRestaurant,8.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Punjabi Bagh,AvgVotesPerRestaurant,93.5,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Lodhi Colony,AvgVotesPerRestaurant,171.0,Supply,1,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 41,AvgVotesPerRestaurant,33.0,Supply,2,locality_opportunity_flags.csv,1.0
Locality demand-supply gap,Sector 14,AvgVotesPerRestaurant,32.0,Supply,1,locality_opportunity_flags.csv,1.0
