Model,Feature,Importance_mean,Importance_std
RandomForest,Price range,0.01520702981890279,0.0026233181071260306
RandomForest,Is NCR,0.008210614408758204,0.001233220882966545
RandomForest,Has Table booking,0.0007879901872750894,0.0009088222333484852
RandomForest,Has Online delivery,0.048450868131631325,0.004797912849989781
RandomForest,Is Chain,0.00014699332648501762,0.0008669607987381172
RandomForest,Cuisines Count,0.008232299740673988,0.0020453674148043447
RandomForest,Primary Cuisine,0.0003101047361124154,0.000874364898122944
RandomForest,Locality,0.164458728727722,0.009304615792278375
RandomForest,Competitors_1km,0.012798027398047534,0.0025339122324798337
RandomForest,Has_Density_Data,0.0015661478948616192,0.0005550992014456368
XGBoost,Price range,0.013379715100533712,0.0032960656307660535
XGBoost,Is NCR,0.03902372007154811,0.005514224070532087
XGBoost,Has Table booking,0.001129567837824258,0.0008640502746417138
XGBoost,Has Online delivery,0.04553713175343196,0.0045501725036481006
XGBoost,Is Chain,0.00090310652481555,0.0010580060300583902
XGBoost,Cuisines Count,0.016281284346333125,0.0029748129482393714
XGBoost,Primary Cuisine,0.001518197719942227,0.0012282307279081126
XGBoost,Locality,0.12893752648932885,0.009292581226609531
XGBoost,Competitors_1km,0.02209286350542717,0.003019673763196042
XGBoost,Has_Density_Data,0.0006771839778171973,0.00040182009544120344
