Restaurant ID,Restaurant Name,Locality,Latitude,Longitude,Competitors_500m,Competitors_1km,Competitors_2km,density_tier
301728,Desire Foods,Badarpur Border,28.4900591,77.3066401,5,10,51,Moderate (6-20)
5992,Knight Rock,Badarpur Border,28.4901567,77.304776,5,10,51,Moderate (6-20)
301730,Punjab Restaurant,Badarpur Border,28.4901368,77.305563,5,10,51,Moderate (6-20)
301729,Raju Dhaba,Badarpur Border,28.4900979,77.3061016,5,10,51,Moderate (6-20)
301731,Rakheja Bakery,Badarpur Border,28.490062,77.3057446,5,10,51,Moderate (6-20)
311053,Snax Points,Badarpur Border,28.4901198,77.3053835,5,10,51,Moderate (6-20)
9299,Aggarwal Sweet Corner,Badarpur Border,28.49629167,77.30274167,1,12,50,Moderate (6-20)
9178,Kashyap Vaishno Dhaba,Badarpur Border,28.4959154,77.303542,1,12,50,Moderate (6-20)
18433852,The Chaiwalas,Badkal Lake,28.4262842,77.3000877,2,12,21,Moderate (6-20)
304046,Cafe And More,Charmwood Village,28.4946638,77.2905651,5,26,37,Dense (20+)
309936,Green Chick Chop,Charmwood Village,28.4946804,77.2905276,5,26,37,Dense (20+)
309927,Kolkata Hot Kathi Rolls,Charmwood Village,28.4922473,77.2918292,6,22,39,Dense (20+)
18377449,Aapki Rasoi,Charmwood Village,28.4990636,77.2918292,12,23,34,Dense (20+)
18472646,Punjabi Rasoi,Charmwood Village,28.4923251,77.292431,6,22,39,Dense (20+)
18037826,Kebab Xpress,"Crown Interiorz Mall, Sector 35, Faridabad",28.4698631,77.3074479,19,23,54,Dense (20+)
301163,McDonald's,"Crown Interiorz Mall, Sector 35, Faridabad",28.4695043,77.3074479,19,23,54,Dense (20+)
4931,Suruchi,"Crown Interiorz Mall, Sector 35, Faridabad",28.4701322,77.3074479,19,23,52,Dense (20+)
1804,Berco's,"Crown Interiorz Mall, Sector 35, Faridabad",28.4700256,77.3072684,19,23,53,Dense (20+)
312102,Dunkin' Donuts,"Crown Interiorz Mall, Sector 35, Faridabad",28.4693655,77.3074031,19,23,54,Dense (20+)
18217857,The Chocolate Room,"Crown Interiorz Mall, Sector 35, Faridabad",28.4693655,77.3074031,19,23,54,Dense (20+)
18471268,Baskin Robbin,"Crown Interiorz Mall, Sector 35, Faridabad",28.469594,77.3074479,19,23,54,Dense (20+)
18381244,Popcorn Fusion,"Crown Interiorz Mall, Sector 35, Faridabad",28.4693655,77.3074031,19,23,54,Dense (20+)
18408041,Subway,"Crown Interiorz Mall, Sector 35, Faridabad",28.4700019,77.3074928,19,23,53,Dense (20+)
311051,KFC,"Crown Interiorz Mall, Sector 35, Faridabad",28.46980656,77.30706006,19,23,55,Dense (20+)
18133510,Barbeque Nation,"Crown Interiorz Mall, Sector 35, Faridabad",28.4698629,77.3073785,19,23,54,Dense (20+)
308380,Yo! China,"Crown Interiorz Mall, Sector 35, Faridabad",28.4693655,77.3074031,19,23,54,Dense (20+)
6077,Giani's,"Crown Plaza Mall, Sector 15, Faridabad",28.3980691,77.3130127,3,12,64,Moderate (6-20)
308082,Momo-Cha,"Crown Plaza Mall, Sector 15, Faridabad",28.3979794,77.3130127,3,12,63,Moderate (6-20)
309558,Shree Rathnam,"Crown Plaza Mall, Sector 15, Faridabad",28.397424,77.3128332,3,12,61,Moderate (6-20)
8128,Mirage Restro Bar,"Crown Plaza Mall, Sector 15, Faridabad",28.3978083,77.3131025,3,12,63,Moderate (6-20)
304062,Jai Jagannath Hotel,Dayal Bagh,28.4937692,77.294319,8,22,39,Dense (20+)
9785,Gelato Vinto,"Eldeco Station 1 Mall, Sector 12, Faridabad",28.3868454,77.3139102,6,8,47,Moderate (6-20)
312514,Maggi Point,"Eldeco Station 1 Mall, Sector 12, Faridabad",28.3869029,77.3140449,6,8,47,Moderate (6-20)
308961,Angaar,"Hotel Saffron Kiran, Faridabad",28.4719854,77.3056977,19,25,53,Dense (20+)
308963,TcozY,"Hotel Saffron Kiran, Faridabad",28.4722089,77.3066401,21,28,57,Dense (20+)
308962,The Retriever,"Hotel Saffron Kiran, Faridabad",28.4723428,77.3062507,21,28,58,Dense (20+)
8169,Bangali Sweets & Restaurant,Indraprastha Colony,28.4534629,77.3153578,1,7,25,Moderate (6-20)
309368,Silver,K Hotel,28.446715,77.316429,4,8,13,Moderate (6-20)
18472429,Chill 'N Grill,NIT,28.3954463,77.2900667,3,3,3,Light (1-5)
18472418,Punjabi Restaurant,NIT,28.3939512,77.2874809,2,3,3,Light (1-5)
18472426,Standard Chicken Point,NIT,28.3940171,77.2875524,2,3,3,Light (1-5)
18450934,The Grillz & Gravy,NIT,28.3982684,77.2922781,1,3,3,Light (1-5)
6025,Cakes 'n Bakes - Park Plaza,"Park Plaza, Sector 21, Faridabad",28.4292178,77.2969459,11,16,19,Moderate (6-20)
6013,Cafe Bite,"Parsavnath City Mall, Sector 12, Faridabad",28.383665,77.3144487,7,9,51,Moderate (6-20)
8153,Cafe Light,"Parsavnath City Mall, Sector 12, Faridabad",28.3837046,77.3144877,7,9,51,Moderate (6-20)
18471296,Little Cafe,"Parsavnath City Mall, Sector 12, Faridabad",28.3836738,77.3145373,7,9,51,Moderate (6-20)
