Restaurant ID,Restaurant Name,Votes,Aggregate rating,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change
3400025,Jahanpanah,140,3.9,3.7577382579381347,0.25925925925925924,807.0,994.0,-187.0
3400341,Rangrezz Restaurant,71,3.5,3.4392710895858953,0.4083333333333333,2195.0,2384.0,-189.0
3400005,Time2Eat - Mama Chicken,94,3.6,3.514772942309843,0.34265734265734266,1785.0,1929.0,-144.0
3400021,Chokho Jeeman Marwari Jain Bhojanalya,87,4.0,3.766268608458143,0.3602941176470588,614.0,961.0,-347.0
3400017,Pinch Of Spice,177,4.2,4.015984649337644,0.2168141592920354,289.0,419.0,-130.0
3400325,MoMo Cafe,45,4.0,3.661835433513909,0.5212765957446809,614.0,1321.0,-707.0
3400059,Peshawri - ITC Mughal,133,4.3,4.044574344781909,0.2692307692307692,190.0,386.0,-196.0
3400060,Taj Bano - ITC Mughal,41,4.0,3.6468058972256383,0.5444444444444444,614.0,1376.0,-762.0
3400348,G Thal,59,3.6,3.487153062502847,0.4537037037037037,1785.0,2047.0,-262.0
3400072,Dawat-e-Nawab - Radisson Blu,46,3.8,3.5685529552663944,0.5157894736842106,1087.0,1675.0,-588.0
3400019,Dasaprakash Restaurant,121,4.1,3.8841913573547497,0.28823529411764703,429.0,650.0,-221.0
3400033,The Charcoal Chimney,70,3.4,3.379937233195861,0.4117647058823529,2648.0,2828.0,-180.0
3400350,Bon Barbecue,57,3.8,3.5925710448142216,0.46226415094339623,1087.0,1560.0,-473.0
3400016,Pind Balluchi,175,3.7,3.623716655135301,0.21875,1422.0,1463.0,-41.0
3400105,Pizza Hut,134,4.4,4.119194157105506,0.2677595628415301,116.0,281.0,-165.0
3400326,Tea'se Me - Rooftop Tea Boutique,166,4.2,4.006569910466546,0.22790697674418606,289.0,433.0,-144.0
3400392,Thaaliwala,168,4.1,3.930933321429988,0.22580645161290322,429.0,568.0,-139.0
111895,650 - The Global Kitchen,1582,4.2,4.174501858216007,0.030042918454935622,289.0,227.0,62.0
110502,Patang - The Revolving Restaurant,1315,3.7,3.687472529875592,0.03592375366568915,1422.0,1209.0,213.0
18396250,Huber & Holly,217,4.5,4.288392972745517,0.18421052631578946,79.0,140.0,-61.0
113702,@Mango,769,4.1,4.055149793093285,0.05990220048899755,429.0,363.0,66.0
113433,Fozzie's Pizzaiolo,731,4.3,4.2404006804491114,0.06282051282051282,190.0,186.0,4.0
18438909,La Pino'z Pizza,113,4.4,4.082793399693256,0.30246913580246915,116.0,312.0,-196.0
18143128,Mocha,944,4.4,4.348250282729413,0.04934541792547835,116.0,109.0,7.0
18438944,Blue -  Rooftop Cafe Restaurant Bistro,63,3.8,3.603683310270602,0.4375,1087.0,1534.0,-447.0
110436,MoMo Cafí© - Courtyard By Marriott,375,3.6,3.5712559687507253,0.11556603773584906,1785.0,1658.0,127.0
18385201,Cryo Lab,166,4.6,4.315407119768872,0.22790697674418606,44.0,127.0,-83.0
110395,Swati Snacks,697,4.4,4.331115992962879,0.06568364611260054,116.0,117.0,-1.0
18335583,Brick Kitchen,325,4.3,4.1757019538778275,0.13101604278074866,190.0,224.0,-34.0
110237,Kabir Restaurant,432,3.8,3.754288005717895,0.10187110187110188,1087.0,1004.0,83.0
113537,Puffizza,744,4.3,4.241377718474537,0.0617906683480454,190.0,184.0,6.0
113703,Cafe Alfresco,404,4.0,3.9298289862037694,0.10816777041942605,614.0,570.0,44.0
18385186,The Cafe Baraco,317,4.4,4.259597078552753,0.13387978142076504,116.0,168.0,-52.0
113325,Nini's Kitchen,1138,4.5,4.452580059604303,0.041280539174389216,79.0,70.0,9.0
111826,Yanki Sizzlers,1041,4.1,4.066341771330557,0.044954128440366975,429.0,347.0,82.0
110516,The Garden Cafe - The Fern,192,4.1,3.947769837138205,0.2033195020746888,429.0,533.0,-104.0
18371341,Mazzo,166,3.9,3.774942003489802,0.22790697674418606,807.0,929.0,-122.0
113570,Turquoise Villa,535,4.0,3.9455694019697045,0.0839041095890411,614.0,537.0,77.0
