cuisine_a,cuisine_b,n_restaurants,mean_CredR_pair,mean_CredR_solo,rating_premium,mean_cost_pair,mean_cost_solo,cost_premium
Mediterranean,North Indian,49,3.950982722269105,3.400406945592712,0.5505757766763932,1555.1020408163265,789.9732262382864,765.1288145780401
European,North Indian,63,3.8202385110709964,3.403809834254791,0.41642867681620555,1966.6666666666667,787.8480589022757,1178.818607764391
Asian,North Indian,88,3.764351470367683,3.404179741505579,0.36017172886210425,1572.7272727272727,787.3884077281812,785.3388649990916
American,North Indian,43,3.7627497243037173,3.4054949950335707,0.3572547292701467,1597.6744186046512,787.3648864726575,810.3095321319937
Chinese,Mexican,48,3.7382510708351337,3.3920351256006556,0.3462159452344782,1003.125,784.0685820203893,219.05641797961073
Asian,Chinese,65,3.71571288147055,3.396573669150385,0.31913921232016484,1356.1538461538462,800.8111824014666,555.3426637523796
Mexican,North Indian,56,3.7216613975282073,3.4074351228159503,0.31422627471225706,1218.75,787.4634308510638,431.2865691489362
North Indian,Thai,55,3.717316479799001,3.407896513526085,0.309419966272916,1342.7272727272727,806.2325882734046,536.4946844538681
North Indian,Seafood,35,3.705374000891764,3.40563369534584,0.299740305545924,1248.5714285714287,797.3677204658902,451.20370810553845
Cafe,Italian,143,3.8469720000503687,3.5737156604072684,0.27325633964310025,884.965034965035,1023.2162458836443,-138.25121091860933
Cafe,Desserts,42,3.8089042028844124,3.5450245171985837,0.26387968568582876,709.5238095238095,580.3966597077244,129.12714981608508
Chinese,Japanese,49,3.644844061483091,3.3826361831973957,0.26220787828569536,1687.7551020408164,775.4115421002838,912.3435599405326
European,Italian,36,3.9296196338645277,3.669445695031629,0.2601739388328985,1823.611111111111,1293.9504373177842,529.6606737933269
Cafe,Fast Food,65,3.670750223162078,3.4108393252153455,0.2599108979467326,654.6153846153846,528.4223918575063,126.1929927578783
Cafe,Continental,107,3.8437086838295227,3.5894087655165534,0.2542999183129693,927.5700934579439,1059.219512195122,-131.64941873717805
Bakery,Cafe,38,3.7585842005265433,3.5085394226746467,0.2500447778518966,750.0,562.7710843373494,187.2289156626506
Finger Food,North Indian,41,3.649880315423768,3.401164376019536,0.24871593940423198,1497.560975609756,809.9104774535809,687.6504981561751
Italian,North Indian,280,3.6555598030879484,3.412841457643575,0.24271834544437354,1352.6785714285713,781.7543859649123,570.924185463659
Chinese,Thai,173,3.61260052340259,3.371090451802755,0.24151007159983529,1203.179190751445,757.3652392947104,445.8139514567347
American,Continental,46,3.846270289586801,3.609380008362267,0.2368902812245337,1418.4782608695652,1220.5700123915738,197.9082484779915
