Locality,cuisine_bucket,Supply,Demand,AvgVotesPerRestaurant,mean_Cred_Rating,locality_p75_threshold,percentile_rank,is_opportunity
Alaknanda,Bakery,3,62,20.666666666666668,3.3457190423550878,23.0,0.6923076923076923,False
Alaknanda,Cafe,1,23,23.0,3.302951815976493,23.0,0.7692307692307693,False
Alaknanda,Chinese,6,178,29.666666666666668,3.255488373870623,23.0,0.9230769230769231,False
Alaknanda,Desserts,1,16,16.0,3.3386543192354994,23.0,0.5384615384615384,False
Alaknanda,Fast Food,2,11,5.5,3.231875512505125,23.0,0.15384615384615385,False
Alaknanda,Ice Cream,2,16,8.0,3.4065481071477377,23.0,0.3076923076923077,False
Alaknanda,Mithai,3,35,11.666666666666666,3.310573081882134,23.0,0.38461538461538464,False
Alaknanda,Mughlai,1,1,1.0,,23.0,0.07692307692307693,False
Alaknanda,North Indian,7,170,24.285714285714285,3.320680935377569,23.0,0.8461538461538461,False
Alaknanda,Other,1,452,452.0,3.8463323967072003,23.0,1.0,True
Alaknanda,Raw Meats,2,35,17.5,3.2882444136941364,23.0,0.6153846153846154,False
Alaknanda,South Indian,2,31,15.5,2.9826566343788437,23.0,0.46153846153846156,False
Alaknanda,Street Food,1,7,7.0,3.319866620541205,23.0,0.23076923076923078,False
Anand Vihar,Bakery,9,80,8.88888888888889,3.414666506237605,46.020833333333336,0.3333333333333333,False
Anand Vihar,Cafe,4,111,27.75,3.5218750088900763,46.020833333333336,0.5,False
Anand Vihar,Chinese,8,295,36.875,3.301505040404508,46.020833333333336,0.5833333333333334,False
Anand Vihar,Desserts,1,58,58.0,3.486098418227173,46.020833333333336,0.9166666666666666,True
Anand Vihar,Fast Food,8,338,42.25,3.3433561288525993,46.020833333333336,0.75,False
Anand Vihar,Ice Cream,1,12,12.0,3.3411890286935653,46.020833333333336,0.4166666666666667,False
Anand Vihar,Italian,1,0,0.0,,46.020833333333336,0.08333333333333333,False
Anand Vihar,Mughlai,1,5,5.0,3.3187505694501387,46.020833333333336,0.16666666666666666,False
Anand Vihar,North Indian,3,188,62.666666666666664,3.5011796935051733,46.020833333333336,1.0,False
Anand Vihar,Other,1,42,42.0,3.4199179203330488,46.020833333333336,0.6666666666666666,False
Anand Vihar,South Indian,2,13,6.5,3.3418755125051245,46.020833333333336,0.25,False
Anand Vihar,Street Food,3,172,57.333333333333336,3.308251095634005,46.020833333333336,0.8333333333333334,False
Ashok Vihar Phase 1,Bakery,5,234,46.8,3.387735632388223,30.666666666666668,0.8888888888888888,False
Ashok Vihar Phase 1,Chinese,3,92,30.666666666666668,3.221893835415627,30.666666666666668,0.7777777777777778,False
Ashok Vihar Phase 1,Fast Food,5,69,13.8,3.35775455224449,30.666666666666668,0.5555555555555556,False
Ashok Vihar Phase 1,Ice Cream,1,0,0.0,,30.666666666666668,0.1111111111111111,False
Ashok Vihar Phase 1,Mithai,3,17,5.666666666666667,3.1283207929735544,30.666666666666668,0.3333333333333333,False
Ashok Vihar Phase 1,North Indian,14,411,29.357142857142858,3.258198390694368,30.666666666666668,0.6666666666666666,False
Ashok Vihar Phase 1,Other,1,3,3.0,,30.666666666666668,0.2222222222222222,False
