Locality,category_type,category_value,Is NCR,Supply,Demand,AvgVotesPerRestaurant,locality_p75_threshold,mean_Cred_Rating,percentile_rank
Alaknanda,cuisine,Other,True,1,452,452.0,23.0,3.8463323967072003,1.0
Ashok Vihar Phase 1,cuisine,Street Food,True,1,135,135.0,30.666666666666668,3.3870246236429753,1.0
Chandni Chowk,cuisine,Ice Cream,True,1,521,521.0,111.74727272727273,4.2184430364040475,1.0
Greater Noida,cuisine,Pizza,True,1,56,56.0,22.357142857142858,3.430595530955309,1.0
Defence Colony,cuisine,South Indian,True,1,782,782.0,303.0833333333333,3.9617479311074697,1.0
Daryaganj,cuisine,Other,True,1,85,85.0,46.375,3.5724815727634884,1.0
"DLF Mall of India, Sector 18,  Noida",cuisine,Continental,True,1,567,567.0,314.7,4.0404424200492,1.0
"Cyber Hub, DLF Cyber City",cuisine,Italian,True,2,3037,1518.5,921.7083333333334,3.000429092629053,1.0
Connaught Place,cuisine,Ice Cream,True,1,2620,2620.0,1151.0,4.871567077838258,1.0
Sector 41,cuisine,Bakery,True,1,117,117.0,29.0,3.3856176551223345,1.0
Sector 50,cuisine,Desserts,True,2,534,267.0,141.125,3.6997162783541713,1.0
Sector 56,cuisine,Continental,True,1,46,46.0,15.166666666666666,3.5685529552663944,1.0
Sector 62,cuisine,Italian,True,1,147,147.0,34.42857142857143,3.162819034440344,1.0
Sector 18,cuisine,Mughlai,True,2,1149,574.5,340.375,3.4444345393370317,1.0
Sector 29,cuisine,Mithai,True,1,966,966.0,547.7738095238095,3.7783374687195144,1.0
Geeta Colony,cuisine,Fast Food,True,1,31,31.0,11.125,3.3701566343788434,1.0
East Patel Nagar,cuisine,South Indian,True,1,359,359.0,91.0,3.5701287518389893,1.0
Greater Kailash (GK) 1,cuisine,Pizza,True,1,697,697.0,165.75,3.770526180630439,1.0
Kalkaji,cuisine,Pizza,True,1,492,492.0,51.03076923076923,3.759357727819422,1.0
Kirti Nagar,cuisine,Bakery,True,1,68,68.0,56.5,3.553953254276132,1.0
Laxmi Nagar,cuisine,Italian,True,1,270,270.0,71.5,3.731073764107547,1.0
Janpath,cuisine,South Indian,True,1,1869,1869.0,396.3333333333333,4.178317273592444,1.0
Jail Road,cuisine,Raw Meats,True,1,60,60.0,18.5,3.3230507408285086,1.0
IP Extension,cuisine,Pizza,True,1,113,113.0,40.66666666666667,2.6877316712981942,1.0
Hauz Khas,cuisine,Italian,True,1,1823,1823.0,60.964285714285715,4.080401992922172,1.0
Netaji Subhash Place,cuisine,Street Food,True,1,459,459.0,166.9375,3.6663632495084797,1.0
Mukherjee Nagar,cuisine,Raw Meats,True,1,14,14.0,5.083333333333333,3.2954369960366265,1.0
Naraina,cuisine,Cafe,True,1,23,23.0,11.0,3.1112851493098264,1.0
New Friends Colony,cuisine,Italian,True,1,189,189.0,46.666666666666664,3.7870274401273423,1.0
Palam Vihar,cuisine,Ice Cream,True,2,38,19.0,11.25,3.28205090041768,1.0
Paschim Vihar,cuisine,Desserts,True,1,92,92.0,56.0,3.252571140073103,1.0
Old Railway Road,cuisine,Mughlai,True,1,33,33.0,17.0,3.3708845213452134,1.0
Palam,cuisine,Desserts,True,2,6,3.0,2.416666666666667,3.309491310190879,1.0
Mayur Vihar Phase 3,cuisine,Fast Food,True,2,103,51.5,20.0,3.3625968136929565,1.0
Malviya Nagar,cuisine,Mughlai,True,2,442,221.0,191.75,3.2752656642211013,1.0
MG Road,cuisine,Desserts,True,1,656,656.0,115.0,4.14101068191533,1.0
Najafgarh,cuisine,South Indian,True,1,2,2.0,1.0,,1.0
"Logix City Centre, Sector 32, Noida",cuisine,North Indian,True,2,53,26.5,9.818181818181818,3.4317097879037997,1.0
Rohini,cuisine,Chinese,True,2,271,135.5,115.8,3.084628633582792,1.0
Punjabi Bagh,cuisine,South Indian,True,1,111,111.0,80.75,3.3850783171894214,1.0
Preet Vihar,cuisine,South Indian,True,1,121,121.0,45.75,3.314779592648867,1.0
Satyaniketan,cuisine,Italian,True,2,1430,715.0,188.47916666666666,3.248165008172026,1.0
Sector 110,cuisine,Pizza,True,1,84,84.0,38.44565217391305,2.560996471806823,1.0
Sector 132,cuisine,Continental,True,2,111,55.5,6.222222222222222,3.935111660829984,1.0
Sainik Farms,cuisine,Street Food,True,1,17,17.0,6.5,3.183523193186477,1.0
R K Puram,cuisine,Mughlai,True,1,629,629.0,83.04166666666667,3.674797242994554,1.0
Sector 12,cuisine,Chinese,True,1,1182,1182.0,8.722222222222221,3.686119033915766,1.0
Sohna Road,cuisine,South Indian,True,2,242,121.0,71.125,3.0264114631744814,1.0
Sushant Lok,cuisine,Mughlai,True,1,125,125.0,51.75,3.601796153737399,1.0
Udyog Vihar,cuisine,Desserts,True,1,12,12.0,7.125,3.3411890286935653,1.0
Vasundhara Enclave,cuisine,South Indian,True,2,33,16.5,6.4,3.215156634378843,1.0
Vivek Vihar,cuisine,Cafe,True,2,176,88.0,30.375,3.314410759824682,1.0
Vikaspuri,cuisine,Ice Cream,True,1,36,36.0,30.1,3.414265067650676,1.0
Vasant Vihar,cuisine,Italian,True,1,299,299.0,31.625,2.8776222147997337,1.0
Uttam Nagar,cuisine,Ice Cream,True,1,8,8.0,6.2,3.301974223689605,1.0
Sector 72,cuisine,Cafe,True,2,54,27.0,5.0,3.529125307503075,1.0
"The Great India Place, Sector 38",cuisine,Other,True,2,1358,679.0,203.40625,3.4829390352013885,1.0
Sector 15,cuisine,Italian,True,1,799,799.0,70.0,4.43362326739423,1.0
Naraina,price_range,3,True,1,15,15.0,14.25,3.2923832929735544,1.0
New Friends Colony,price_range,3,True,1,391,391.0,123.69318181818181,4.105483024432517,1.0
Old Railway Road,price_range,3,True,1,25,25.0,21.233333333333334,3.2663855506798307,1.0
Rajinder Nagar,price_range,3,True,1,102,102.0,94.9090909090909,3.2490896076179308,1.0
Safdarjung,price_range,4,True,2,718,359.0,228.2,3.8269655434105085,1.0
Tilak Nagar,price_range,4,True,1,160,160.0,83.16981132075472,3.618241773924916,1.0
Udyog Vihar,price_range,4,True,1,27,27.0,12.23076923076923,3.119901720398783,1.0
Sector 72,price_range,3,True,1,22,22.0,16.44,2.9635567711310915,1.0
"The Great India Place, Sector 38",price_range,4,True,2,1377,688.5,394.7083333333333,2.865613848516416,1.0
Vasant Vihar,price_range,4,True,1,114,114.0,68.91666666666666,4.014800802149126,1.0
Vikaspuri,price_range,3,True,2,71,35.5,29.720588235294116,3.3329155685956433,1.0
Kamla Nagar,price_range,3,True,2,350,175.0,130.7,3.4431816043978447,1.0
Kalkaji,price_range,3,True,2,389,194.5,138.125,3.4416811069495385,1.0
Sainik Farms,price_range,3,True,1,13,13.0,8.14516129032258,3.256653721779153,1.0
Sector 132,price_range,3,True,2,115,57.5,30.942307692307693,3.6087391406855946,1.0
Ashok Vihar Phase 1,price_range,3,True,1,35,35.0,33.36363636363636,3.079911080360803,1.0
Anand Vihar,price_range,3,True,1,106,106.0,74.82142857142857,3.7265324564535964,1.0
DLF Phase 3,price_range,3,True,2,151,75.5,68.34615384615384,3.3898204483598704,1.0
Daryaganj,price_range,3,True,1,711,711.0,412.67857142857144,3.5839638562504046,1.0
Chandni Chowk,price_range,4,True,1,305,305.0,212.0,4.254837657486744,1.0
Chanakyapuri,price_range,3,True,2,174,87.0,60.712500000000006,2.946813414660764,1.0
Gujranwala Town,price_range,3,True,1,155,155.0,93.33333333333334,3.160355542893664,1.0
IP Extension,price_range,3,True,2,192,96.0,70.75,2.8501564625658107,1.0
East of Kailash,price_range,3,True,1,686,686.0,349.3333333333333,4.050085075850759,1.0
Green Park,price_range,4,True,1,303,303.0,228.66666666666666,3.6514560532679194,1.0
Jail Road,price_range,3,True,1,621,621.0,175.21875,4.137929150373593,1.0
Jangpura,price_range,3,True,1,744,744.0,393.29411764705884,3.95991491897895,1.0
Dilshad Garden,price_range,3,True,1,56,56.0,53.44117647058823,3.3239288642886424,1.0
Defence Colony,price_range,4,True,1,354,354.0,331.95000000000005,3.7454405229536167,1.0
Mayur Vihar Phase 1,price_range,4,True,1,80,80.0,58.25,3.195445974808585,1.0
Rajouri Garden,cuisine,Street Food,True,1,413,413.0,290.82142857142856,3.7524080752171156,0.9375
MG Road,cuisine,Italian,True,2,473,236.5,115.0,3.596602158359734,0.9333333333333333
Pitampura,cuisine,Other,True,2,140,70.0,61.8,3.489937015255569,0.9333333333333333
Vikaspuri,cuisine,Street Food,True,2,68,34.0,30.1,3.169016857476267,0.9285714285714286
Sector 50,cuisine,Pizza,True,1,161,161.0,141.125,2.621964432144321,0.9285714285714286
Preet Vihar,cuisine,Pizza,True,1,102,102.0,45.75,2.9788909321212413,0.9285714285714286
East Patel Nagar,cuisine,Pizza,True,1,119,119.0,91.0,3.4566222068470682,0.9285714285714286
Sector 14,cuisine,Cafe,True,1,34,34.0,31.0,3.125452177714548,0.9230769230769231
Naraina,cuisine,Continental,True,1,15,15.0,11.0,3.2923832929735544,0.9230769230769231
Uttam Nagar,cuisine,Other,True,2,13,6.5,6.2,3.28770184015682,0.9230769230769231
Sector 15,cuisine,Raw Meats,True,2,311,155.5,70.0,3.528484518937609,0.9230769230769231
Lodhi Colony,cuisine,South Indian,True,1,330,330.0,148.0,3.7419855692620247,0.9230769230769231
Connaught Place,cuisine,Bakery,True,2,5048,2524.0,1151.0,4.2781802718832616,0.9230769230769231
Anand Vihar,cuisine,Desserts,True,1,58,58.0,46.020833333333336,3.486098418227173,0.9166666666666666
Sushant Lok,cuisine,Italian,True,1,80,80.0,51.75,3.009399463180678,0.9166666666666666
Palam Vihar,cuisine,Continental,True,1,17,17.0,11.25,3.28655349621678,0.9166666666666666
