Locality,Price range,Supply,Demand,AvgVotesPerRestaurant,mean_Cred_Rating,locality_p75_threshold,percentile_rank,is_opportunity
Alaknanda,1,20,283,14.15,3.288813272132286,50.6625,0.5,False
Alaknanda,2,12,754,62.833333333333336,3.3594059619060648,50.6625,1.0,False
Anand Vihar,1,27,597,22.11111111111111,3.3618012425223256,74.82142857142857,0.3333333333333333,False
Anand Vihar,2,14,611,43.642857142857146,3.3734606924526034,74.82142857142857,0.6666666666666666,False
Anand Vihar,3,1,106,106.0,3.7265324564535964,74.82142857142857,1.0,True
Ashok Vihar Phase 1,1,24,600,25.0,3.3142986924367728,33.36363636363636,0.3333333333333333,False
Ashok Vihar Phase 1,2,11,349,31.727272727272727,3.291658304706609,33.36363636363636,0.6666666666666666,False
Ashok Vihar Phase 1,3,1,35,35.0,3.079911080360803,33.36363636363636,1.0,True
Chanakyapuri,1,9,407,45.22222222222222,3.3564296448079354,60.712500000000006,0.5,False
Chanakyapuri,2,20,1039,51.95,3.2721333097889413,60.712500000000006,0.75,False
Chanakyapuri,3,2,174,87.0,2.946813414660764,60.712500000000006,1.0,True
Chanakyapuri,4,1,3,3.0,,60.712500000000006,0.25,False
Chandni Chowk,1,61,5780,94.75409836065573,3.438957192260984,212.0,0.3333333333333333,False
Chandni Chowk,2,5,595,119.0,3.327283768432669,212.0,0.6666666666666666,False
Chandni Chowk,4,1,305,305.0,4.254837657486744,212.0,1.0,True
Chittaranjan Park,1,26,786,30.23076923076923,3.316721621295242,69.52163461538461,0.6666666666666666,False
Chittaranjan Park,2,16,1741,108.8125,3.2457441252044603,69.52163461538461,1.0,False
Chittaranjan Park,3,4,90,22.5,3.263437387505683,69.52163461538461,0.3333333333333333,False
Civil Lines,1,13,346,26.615384615384617,3.457420654210431,108.96710526315789,0.25,False
Civil Lines,2,8,804,100.5,3.5757438347675192,108.96710526315789,0.75,False
Civil Lines,3,19,2553,134.3684210526316,3.513281679309682,108.96710526315789,1.0,False
Civil Lines,4,1,59,59.0,3.487153062502847,108.96710526315789,0.5,False
Connaught Place,1,15,12426,828.4,3.7657647039841535,1144.6477272727273,0.25,False
Connaught Place,2,30,30217,1007.2333333333333,3.7039490457072644,1144.6477272727273,0.5,False
Connaught Place,3,66,70203,1063.6818181818182,3.724627457624783,1144.6477272727273,0.75,False
Connaught Place,4,11,15263,1387.5454545454545,3.881975470154187,1144.6477272727273,1.0,False
"Cyber Hub, DLF Cyber City",1,4,1720,430.0,3.7280859768503802,1012.8874269005847,0.5,False
"Cyber Hub, DLF Cyber City",2,9,3820,424.44444444444446,3.7680788785504356,1012.8874269005847,0.25,False
"Cyber Hub, DLF Cyber City",3,19,13820,727.3684210526316,3.8702191117447464,1012.8874269005847,0.75,False
"Cyber Hub, DLF Cyber City",4,9,16825,1869.4444444444443,3.764527848973525,1012.8874269005847,1.0,False
"DLF Mall of India, Sector 18,  Noida",1,7,1601,228.71428571428572,3.6497994980540907,288.17857142857144,0.6666666666666666,False
"DLF Mall of India, Sector 18,  Noida",2,10,1809,180.9,3.693961702546253,288.17857142857144,0.3333333333333333,False
"DLF Mall of India, Sector 18,  Noida",3,14,4867,347.64285714285717,3.8215441876567593,288.17857142857144,1.0,False
DLF Phase 3,1,41,2195,53.53658536585366,3.2771498720697854,68.34615384615384,0.3333333333333333,False
DLF Phase 3,2,26,1591,61.19230769230769,3.376314472908557,68.34615384615384,0.6666666666666666,False
DLF Phase 3,3,2,151,75.5,3.3898204483598704,68.34615384615384,1.0,True
Daryaganj,1,28,267,9.535714285714286,3.3466358725000473,412.67857142857144,0.3333333333333333,False
Daryaganj,2,14,1601,114.35714285714286,3.4495284989880477,412.67857142857144,0.6666666666666666,False
Daryaganj,3,1,711,711.0,3.5839638562504046,412.67857142857144,1.0,True
Defence Colony,1,28,1751,62.535714285714285,3.396777282603006,331.95000000000005,0.25,False
Defence Colony,2,37,7001,189.21621621621622,3.4946151407848394,331.95000000000005,0.5,False
Defence Colony,3,20,6492,324.6,3.6711509504460422,331.95000000000005,0.75,False
Defence Colony,4,1,354,354.0,3.7454405229536167,331.95000000000005,1.0,True
Delhi University-GTB Nagar,1,40,2328,58.2,3.3262456192156176,261.2142857142857,0.25,False
Delhi University-GTB Nagar,2,21,16839,801.8571428571429,3.533430927974034,261.2142857142857,1.0,False
Delhi University-GTB Nagar,3,3,242,80.66666666666667,3.3118507095542857,261.2142857142857,0.5,False
Delhi University-GTB Nagar,4,1,81,81.0,2.945481005771596,261.2142857142857,0.75,False
Dilshad Garden,1,39,319,8.179487179487179,3.274886450775821,53.44117647058823,0.3333333333333333,False
Dilshad Garden,2,17,865,50.88235294117647,3.2363530596616736,53.44117647058823,0.6666666666666666,False
Dilshad Garden,3,1,56,56.0,3.3239288642886424,53.44117647058823,1.0,True
East Patel Nagar,1,29,925,31.896551724137932,3.315404084348869,81.51875,0.3333333333333333,False
East Patel Nagar,2,16,1255,78.4375,3.4161847367662452,81.51875,0.6666666666666666,False
East Patel Nagar,3,5,423,84.6,3.355154593795124,81.51875,1.0,False
East of Kailash,1,37,245,6.621621621621622,3.2753112396775124,349.3333333333333,0.3333333333333333,False
East of Kailash,2,18,228,12.666666666666666,3.295183889597643,349.3333333333333,0.6666666666666666,False
East of Kailash,3,1,686,686.0,4.050085075850759,349.3333333333333,1.0,True
GTB Nagar,1,22,145,6.590909090909091,3.332062524907504,136.33333333333331,0.3333333333333333,False
GTB Nagar,2,12,1865,155.41666666666666,3.6912272446405785,136.33333333333331,1.0,False
GTB Nagar,3,4,469,117.25,3.4513603726584807,136.33333333333331,0.6666666666666666,False
Geeta Colony,1,27,167,6.185185185185185,3.310340257298044,16.76058201058201,0.5,False
Geeta Colony,2,7,142,20.285714285714285,3.269404851703604,16.76058201058201,1.0,False
Greater Kailash (GK) 1,1,17,1218,71.6470588235294,3.4661716144775276,174.69901315789474,0.25,False
Greater Kailash (GK) 1,2,24,3395,141.45833333333334,3.6060557175139305,174.69901315789474,0.75,False
Greater Kailash (GK) 1,3,19,5214,274.42105263157896,3.7241594326589804,174.69901315789474,1.0,False
Greater Kailash (GK) 1,4,6,744,124.0,3.5431658396368584,174.69901315789474,0.5,False
Greater Kailash (GK) 2,1,17,1062,62.470588235294116,3.3662820723875466,332.5394736842105,0.25,False
Greater Kailash (GK) 2,2,25,4667,186.68,3.519064096772847,332.5394736842105,0.5,False
Greater Kailash (GK) 2,3,19,6520,343.1578947368421,3.595738163576961,332.5394736842105,1.0,False
Greater Kailash (GK) 2,4,5,1645,329.0,3.9152758041471016,332.5394736842105,0.75,False
Greater Noida,1,21,232,11.047619047619047,3.2853349051278995,21.761904761904763,0.3333333333333333,False
Greater Noida,2,14,306,21.857142857142858,3.2461306406600476,21.761904761904763,1.0,False
Greater Noida,3,3,65,21.666666666666668,3.2386512883671035,21.761904761904763,0.6666666666666666,False
Green Park,1,19,1568,82.52631578947368,3.2472587262644295,228.66666666666666,0.25,False
Green Park,2,17,1639,96.41176470588235,3.342016512945032,228.66666666666666,0.5,False
Green Park,3,9,1835,203.88888888888889,3.4562554811584505,228.66666666666666,0.75,False
Green Park,4,1,303,303.0,3.6514560532679194,228.66666666666666,1.0,True
Gujranwala Town,1,26,486,18.692307692307693,3.3850671737362585,93.33333333333334,0.3333333333333333,False
Gujranwala Town,2,12,380,31.666666666666668,3.3518656888380844,93.33333333333334,0.6666666666666666,False
Gujranwala Town,3,1,155,155.0,3.160355542893664,93.33333333333334,1.0,True
Hauz Khas,1,44,1502,34.13636363636363,3.3369076510245526,173.64999999999998,0.3333333333333333,False
Hauz Khas,2,20,1072,53.6,3.2740544896623627,173.64999999999998,0.6666666666666666,False
Hauz Khas,3,10,2937,293.7,3.565663508390551,173.64999999999998,1.0,False
IP Extension,1,35,1023,29.228571428571428,3.2501415561838214,70.75,0.3333333333333333,False
IP Extension,2,10,455,45.5,3.1938237357334045,70.75,0.6666666666666666,False
IP Extension,3,2,192,96.0,2.8501564625658107,70.75,1.0,True
Jail Road,1,51,908,17.80392156862745,3.318260991201785,175.21875,0.5,False
Jail Road,2,8,213,26.625,3.2385633154526627,175.21875,0.75,False
Jail Road,3,1,621,621.0,4.137929150373593,175.21875,1.0,True
Jail Road,4,1,14,14.0,3.2509925515921823,175.21875,0.25,False
Janakpuri,1,16,1359,84.9375,3.353389280530005,95.21153846153845,0.3333333333333333,False
Janakpuri,2,26,2234,85.92307692307692,3.304678333524733,95.21153846153845,0.6666666666666666,False
Janakpuri,3,4,418,104.5,3.3211651143107312,95.21153846153845,1.0,False
Jangpura,1,39,686,17.58974358974359,3.3189140888854367,393.29411764705884,0.3333333333333333,False
Jangpura,2,17,724,42.588235294117645,3.2835045146254465,393.29411764705884,0.6666666666666666,False
Jangpura,3,1,744,744.0,3.95991491897895,393.29411764705884,1.0,True
Janpath,1,12,688,57.333333333333336,3.3853100934476332,298.45,0.25,False
Janpath,2,12,2828,235.66666666666666,3.524844990571827,298.45,0.5,False
Janpath,3,10,4354,435.4,3.7451448710264117,298.45,1.0,False
Janpath,4,5,1264,252.8,3.8128451620580015,298.45,0.75,False
Kalkaji,1,47,1297,27.595744680851062,3.279197112877606,138.125,0.3333333333333333,False
Kalkaji,2,24,1962,81.75,3.3624260819456446,138.125,0.6666666666666666,False
Kalkaji,3,2,389,194.5,3.4416811069495385,138.125,1.0,True
Kamla Nagar,1,38,2902,76.36842105263158,3.4644084101120765,130.7,0.3333333333333333,False
Kamla Nagar,2,25,2160,86.4,3.3889927886722617,130.7,0.6666666666666666,False
Kamla Nagar,3,2,350,175.0,3.4431816043978447,130.7,1.0,True
Karol Bagh,1,38,2448,64.42105263157895,3.3249252837420813,107.27575757575758,0.3333333333333333,False
