Framing,Model,Feature,Importance_mean,Importance_std
Descriptive,RandomForest,Price range,0.00337446518438862,0.0009238575934269085
Descriptive,RandomForest,Is NCR,0.00066924576293656,0.00045409971818621483
Descriptive,RandomForest,Has Table booking,0.0002949142595592258,0.00010308523580000985
Descriptive,RandomForest,Has Online delivery,0.005615360368360689,0.0010804735720879148
Descriptive,RandomForest,Is Chain,0.011631128021502846,0.003220256883474624
Descriptive,RandomForest,Cuisines Count,0.000779613977669652,0.0005215531270248788
Descriptive,RandomForest,Primary Cuisine,0.07549663120869135,0.009206880452587291
Descriptive,RandomForest,Locality,0.08036804649136979,0.006302645676253223
Descriptive,RandomForest,Competitors_1km,0.0431748343696602,0.006983380704891348
Descriptive,RandomForest,Has_Density_Data,0.0011239419227710046,0.0009260360243395992
Descriptive,RandomForest,Log_Votes,0.6224481873163977,0.030381324188500324
Descriptive,XGBoost,Price range,0.008783757049840519,0.0023501002584322035
Descriptive,XGBoost,Is NCR,0.004318860700025462,0.001280624190618993
Descriptive,XGBoost,Has Table booking,0.0016691904770196608,0.0007727050281163725
Descriptive,XGBoost,Has Online delivery,0.006402996336070293,0.0010224514988911087
Descriptive,XGBoost,Is Chain,0.015780628263237766,0.004309643186797886
Descriptive,XGBoost,Cuisines Count,0.004715632478772302,0.0017303240287258094
Descriptive,XGBoost,Primary Cuisine,0.08690586699515783,0.008274183431812503
Descriptive,XGBoost,Locality,0.07344784719487306,0.006584239627773537
Descriptive,XGBoost,Competitors_1km,0.030418596135367338,0.005175908832270372
Descriptive,XGBoost,Has_Density_Data,0.0012774125925991697,0.0008062288530547322
Descriptive,XGBoost,Log_Votes,0.6037094641586883,0.026070795257184618
Actionable,RandomForest,Price range,0.04669689065177572,0.005575514463790171
Actionable,RandomForest,Is NCR,0.09498491956328385,0.008168597388148038
Actionable,RandomForest,Has Table booking,0.0008688874319000894,0.0004898247864165437
Actionable,RandomForest,Has Online delivery,0.014809500146334725,0.0027725005396039676
Actionable,RandomForest,Is Chain,0.0013848608012245577,0.0020564070189055656
Actionable,RandomForest,Cuisines Count,0.0031448155024575318,0.001151529606809478
Actionable,RandomForest,Primary Cuisine,0.08909923618573116,0.00827724330310553
Actionable,RandomForest,Locality,0.3138935700864905,0.020742171282248294
Actionable,RandomForest,Competitors_1km,0.011685609856564161,0.0030015390414884218
Actionable,RandomForest,Has_Density_Data,7.0708191162283105e-06,1.538375622418052e-05
Actionable,XGBoost,Price range,0.061881839650397265,0.00683151848050987
Actionable,XGBoost,Is NCR,0.0909973507994742,0.007482262703988407
Actionable,XGBoost,Has Table booking,0.001499627969789885,0.0010413308806765306
Actionable,XGBoost,Has Online delivery,0.020202051086722562,0.0044936481571332095
Actionable,XGBoost,Is Chain,0.004559858128394462,0.003281749837700403
Actionable,XGBoost,Cuisines Count,0.014820854411688011,0.0032056451563792134
Actionable,XGBoost,Primary Cuisine,0.09293398029019326,0.008224042610210492
Actionable,XGBoost,Locality,0.2070574911166701,0.013998382422902715
Actionable,XGBoost,Competitors_1km,0.018123210467093653,0.004807754199487353
Actionable,XGBoost,Has_Density_Data,0.0005604114976104413,0.0010589299242847394
