Framing,Model,CV_RMSE_mean,CV_RMSE_std,Test_RMSE,Test_MAE,Test_R2,NCR_RMSE,NCR_R2,NonNCR_RMSE,NonNCR_R2
Descriptive,Linear,0.35841657682417416,0.014417535368182658,0.3589959655045357,0.2668456715838187,0.4979091676849272,0.3614058131621236,0.41964702235793205,0.3381791735885072,0.3714051667354421
Descriptive,Ridge,0.35841385902129935,0.014427121471675956,0.35901311152743853,0.266841099525224,0.497861205772697,0.3614334497485406,0.4195582601527741,0.3381026182776223,0.37168973083518164
Descriptive,RandomForest,0.3509670718462269,0.012763258331354709,0.34643573086230356,0.25701418669500864,0.5324279826570902,0.3481090955978689,0.461565733286623,0.3321171989791632,0.39373873272060367
Descriptive,XGBoost,0.3475639021848541,0.011456312680818696,0.3428093537987825,0.2547279789665861,0.5421655347202465,0.3445508523694483,0.47251683106929376,0.3278892644421322,0.4090761958918553
Actionable,Linear,0.401997033479695,0.006247649818395486,0.4053417193386186,0.3138832580056961,0.3599030372072922,0.404944036482007,0.2713953065144096,0.4086510931959124,0.08212736947886312
Actionable,Ridge,0.40199529787552224,0.0062490379285146235,0.4053553764363609,0.3138852411802899,0.35985990316193095,0.404984817239512,0.271248547728981,0.4084399923237978,0.08307543333487677
Actionable,RandomForest,0.39362916080464944,0.007174122893022312,0.3955337516359713,0.30654607072581375,0.3905048515027071,0.3951072910640886,0.30636334175863544,0.3990810109574729,0.1246147644979747
Actionable,XGBoost,0.39340238384383086,0.00662389190982894,0.3908001224530976,0.3033701003101768,0.40500606592933774,0.3901050554224825,0.32381566368324877,0.3965630244718043,0.13562633582544392
Descriptive,Baseline (mean),,,0.5066607385520684,0.41003407689320137,-8.671817100713852e-05,,,,
Actionable,Baseline (mean),,,0.5066607385520684,0.41003407689320137,-8.671817100713852e-05,,,,
