Restaurant ID,Restaurant Name,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes,n_outlets,Is Chain,Is Rated,Is NCR,Cuisines Count,Primary Cuisine,Log_Votes,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change,Log_Cost,VFM_Predicted_Rating,VFM_Residual,VFM_rank_overall,VFM_rank_within_ncr,Competitors_500m,Competitors_1km,Competitors_2km,density_tier,Has_Density_Data,Model_Predicted_Rating,Model_Residual,Coldstart_Risk_Score
3400025,Jahanpanah,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.01154444,27.16166111,"North Indian, Mughlai",850,0,0,3,3.9,Yellow,Good,140,1,False,True,False,2,North Indian,4.948759890378168,3.757738257938135,0.2592592592592592,807.0,994.0,-187.0,6.746412128573375,3.8639005689171184,-0.1061623109789837,4630.0,404.0,,,,,False,3.6554408,0.2445591926574706,0.0063514787838997
3400341,Rangrezz Restaurant,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",0.0,0.0,"North Indian, Mughlai",700,0,0,2,3.5,Yellow,Good,71,1,False,True,False,2,North Indian,4.276666119016055,3.439271089585896,0.4083333333333333,2195.0,2384.0,-189.0,6.55250788703459,3.823266204890575,-0.3839951153046796,6005.0,597.0,,,,,False,3.8470457,-0.3470456600189209,0.0117239122159851
3400005,Time2Eat - Mama Chicken,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.01160797,27.16083249,North Indian,500,0,0,2,3.6,Yellow,Good,94,1,False,True,False,1,North Indian,4.553876891600541,3.514772942309843,0.3426573426573426,1785.0,1929.0,-144.0,6.2166061010848646,3.752874988385302,-0.238102046075459,5568.0,484.0,,,,,False,3.852326,-0.2523259162902831,0.0166345194093753
3400021,Chokho Jeeman Marwari Jain Bhojanalya,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",77.99809167,27.19592778,Rajasthani,400,0,0,2,4.0,Green,Very Good,87,1,False,True,False,1,Rajasthani,4.477336814478207,3.766268608458143,0.3602941176470588,614.0,961.0,-347.0,5.993961427306569,3.7062178103314185,0.0600507981267246,2117.0,293.0,,,,,False,3.6204393,0.3795607089996338,0.0350991394948868
3400017,Pinch Of Spice,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.00755278,27.201725,"North Indian, Chinese, Mughlai",1000,0,0,3,4.2,Green,Very Good,177,1,False,True,False,3,North Indian,5.181783550292085,4.015984649337644,0.2168141592920354,289.0,419.0,-130.0,6.90875477931522,3.8979209199673495,0.1180637293702941,1665.0,248.0,,,,,False,3.6852784,0.5147215843200685,0.0085725216694313
3400325,MoMo Cafe,Agra,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra","Courtyard by Marriott Agra, Tajganj","Courtyard by Marriott Agra, Tajganj, Agra",0.0,0.0,"North Indian, European",2000,0,0,4,4.0,Green,Very Good,45,1,False,True,False,2,North Indian,3.828641396489095,3.661835433513909,0.5212765957446809,614.0,1321.0,-707.0,7.601402334583733,4.043071395684233,-0.381235962170324,5996.0,593.0,,,,,False,4.0195208,-0.0195207595825195,0.0105812789703646
3400059,Peshawri - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",78.044095,27.160934,"North Indian, Mughlai",2500,0,0,4,4.3,Green,Very Good,133,1,False,True,False,2,North Indian,4.897839799950911,4.044574344781909,0.2692307692307692,190.0,386.0,-196.0,7.824445930877619,4.089812171510854,-0.045237826728945,3652.0,359.0,,,,,False,3.8865948,0.4134052276611326,0.0040313673753867
3400060,Taj Bano - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",78.044095,27.160934,Mughlai,2500,0,0,4,4.0,Green,Very Good,41,1,False,True,False,1,Mughlai,3.737669618283368,3.6468058972256383,0.5444444444444444,614.0,1376.0,-762.0,7.824445930877619,4.089812171510854,-0.4430062742852154,6136.0,635.0,,,,,False,3.9326744,0.0673255920410156,0.0053344739547955
3400348,G Thal,Agra,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",Khandari,"Khandari, Agra",0.0,0.0,"Rajasthani, Gujarati, Mughlai",800,0,0,3,3.6,Yellow,Good,59,1,False,True,False,3,Rajasthani,4.0943445622221,3.487153062502847,0.4537037037037037,1785.0,2047.0,-262.0,6.68586094706836,3.851211528533131,-0.3640584660302841,5955.0,577.0,,,,,False,4.097382,-0.4973820686340331,0.0118355438427492
3400072,Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra","Radisson Blu, Tajganj","Radisson Blu, Tajganj, Agra",78.057044,27.163303,"North Indian, Mughlai",3600,0,0,4,3.8,Yellow,Good,46,1,False,True,False,2,North Indian,3.8501476017100575,3.5685529552663944,0.5157894736842106,1087.0,1675.0,-588.0,8.188966863648876,4.166200785601896,-0.597647830335502,6344.0,688.0,,,,,False,4.0195208,-0.2195207595825197,0.0105812789703646
